name,league,club,country,position,price,rating,base_stats,total_stats,popularity,weight,height,pace,shooting,dribling,defending,physicality,weak_foot,skills,card_type
Johan Cruyff,Icons,FUT 21 ICONS,Netherlands,CF,6.62M ,94,483,2339,596,71,180,91,92,91,94,42,5,5,Icon
Ronaldo,Icons,FUT 21 ICONS,Brazil,ST,7.8M ,94,485,2321,1713,82,183,93,93,80,93,46,5,5,Icon
Lev Yashin,Icons,FUT 21 ICONS,Russia,GK,664K ,94,510,1320,368,82,189,95,89,75,96,60,3,1,Icon
Paolo Maldini,Icons,FUT 21 ICONS,Italy,CB,4.3M ,94,465,2140,526,83,186,86,56,75,69,96,4,2,Icon
Mané Garrincha,Icons,FUT 21 ICONS,Brazil,RW,2.69M ,94,476,2301,220,72,169,90,87,94,96,41,4,5,Icon
Zinedine Zidane,Icons,FUT 21 ICONS,France,CAM,2.64M ,94,512,2474,509,82,185,82,90,93,92,72,5,5,Icon
Ferenc Puskás,Icons,FUT 21 ICONS,Hungary,CF,2.87M ,94,492,2396,1642,72,172,91,96,91,92,46,3,4,Icon
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,CF,811K ,94,474,2315,4692,72,170,86,94,93,96,39,4,4,IF
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,3.47M ,94,480,2339,4040,83,187,91,95,85,92,37,4,5,SIF
Karim Benzema,LaLiga Santander,Real Madrid,France,CF,278K ,94,484,2349,2580,81,185,83,92,90,92,45,4,4,Headliners
Trent Alexander-Arnold,Premier League,Liverpool,England,RB,969K ,94,534,2573,-377,69,180,92,81,96,90,91,4,3,TOTY
George Best,Icons,FUT 21 ICONS,Northern Ireland,RW,4.37M ,94,505,2440,513,65,175,95,95,87,96,59,4,4,Icon Moment
Eusébio,Icons,FUT 21 ICONS,Portugal,CF,10.88M ,94,503,2450,784,76,175,95,97,88,95,47,5,4,Icon Moment
Carlos Alberto Torres,Icons,FUT 21 ICONS,Brazil,RB,2.93M ,94,518,2410,221,76,180,93,75,83,88,91,4,3,Icon Moment
Roberto Baggio,Icons,FUT 21 ICONS,Italy,CF,0 ,94,468,2267,362,73,174,88,89,93,95,41,4,5,Icon Moment
Ruud Gullit,Icons,FUT 21 ICONS,Netherlands,CF,0 ,94,541,2618,990,88,191,88,95,92,91,83,5,4,Icon Moment
Lothar Matthäus,Icons,FUT 21 ICONS,Germany,CM,4.35M ,94,538,2606,549,71,174,91,90,92,85,93,4,3,Icon Moment
Franco Baresi,Icons,FUT 21 ICONS,Italy,CB,600K ,94,467,2242,66,70,176,74,61,77,73,96,3,2,Icon Moment
Marco van Basten,Icons,FUT 21 ICONS,Netherlands,ST,880K ,94,468,2285,194,80,188,84,96,78,92,40,4,3,Icon Moment
Xavier Hernández,Icons,FUT 21 ICONS,Spain,CM,2.03M ,94,504,2444,588,67,170,83,81,97,95,74,3,4,Icon Moment
Éric Cantona,Icons,FUT 21 ICONS,France,CF,5.55M ,94,522,2534,591,89,188,91,95,92,95,55,4,5,Icon Moment
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,372K ,94,482,2344,712,80,184,83,94,84,89,46,4,4,TIF
Thierry Henry,Icons,FUT 21 ICONS,France,ST,5.09M ,94,506,2409,571,83,188,97,95,85,93,54,4,4,Icon Moment
Roberto Baggio,Icons,FUT 21 ICONS,Italy,CAM,499K ,93,455,2217,235,73,174,86,84,92,92,40,4,5,Icon
Thierry Henry,Icons,FUT 21 ICONS,France,ST,1.83M ,93,491,2332,497,83,188,94,91,83,90,53,4,4,Icon
Franco Baresi,Icons,FUT 21 ICONS,Italy,CB,310K ,93,444,2131,34,70,176,70,49,76,72,95,3,2,Icon
Carlos Alberto Torres,Icons,FUT 21 ICONS,Brazil,RB,1.36M ,93,500,2324,164,76,180,90,66,81,86,90,4,3,Icon
Marco van Basten,Icons,FUT 21 ICONS,Netherlands,ST,337K ,93,456,2231,214,78,188,83,94,76,89,39,4,3,Icon
Ruud Gullit,Icons,FUT 21 ICONS,Netherlands,CF,8.2M ,93,529,2566,1059,88,191,86,91,91,89,82,5,4,Icon
George Best,Icons,FUT 21 ICONS,Northern Ireland,RW,2.45M ,93,491,2370,220,65,175,93,91,84,94,58,4,4,Icon
Lothar Matthäus,Icons,FUT 21 ICONS,Germany,CM,2.53M ,93,525,2544,493,71,174,89,89,90,82,90,4,3,Icon
Eusébio,Icons,FUT 21 ICONS,Portugal,CF,6.24M ,93,491,2398,508,76,175,94,94,86,93,45,5,4,Icon
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,RW,220K ,93,466,2273,5986,72,170,85,92,91,95,38,4,4,Rare
Éric Cantona,Icons,FUT 21 ICONS,France,CF,2.87M ,93,510,2476,1032,89,188,89,93,90,93,53,4,5,Icon
Xavier Hernández,Icons,FUT 21 ICONS,Spain,CM,1.03M ,93,493,2391,1108,67,170,81,80,95,93,72,3,4,Icon
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,RW,223K ,93,466,2273,632,72,170,85,92,91,95,38,4,4,CL
Jan Oblak,LaLiga Santander,Atlético de Madrid,Slovenia,GK,248K ,93,503,1048,1830,87,188,91,94,80,93,52,3,1,UCL Live
Mohamed Salah,Premier League,Liverpool,Egypt,RW,2.13M ,93,494,2357,1315,71,175,96,91,87,93,48,3,4,UCL Live
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,461.7K ,93,474,2313,4237,80,184,80,93,82,89,45,4,4,Bundes POTM SBC
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,2.5M ,93,472,2301,5443,83,187,90,94,83,91,36,4,5,IF
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,207K ,93,474,2309,1258,80,184,81,93,82,88,45,4,4,SIF
Alphonso Davies,Bundesliga,FC Bayern,Canada,LB,1.62M ,93,548,2562,4810,72,181,99,83,89,96,91,4,4,TOTY
Sadio Mané,Premier League,Liverpool,Senegal,LW,1.64M ,93,493,2349,1106,69,175,97,90,85,93,47,4,4,TOTY Honourable Ment
Wayne Rooney,EFL Championship (ENG 2),Derby County,England,ST,445.25K ,93,522,2537,22979,83,176,87,95,88,91,71,4,4,Premium SBC
Alessandro Del Piero,Icons,FUT 21 ICONS,Italy,CF,1.7M ,93,478,2331,388,74,174,85,94,92,94,44,5,4,Icon Moment
Hristo Stoichkov,Icons,FUT 21 ICONS,Bulgaria,ST,2.31M ,93,512,2475,355,73,178,94,95,89,94,52,3,4,Icon Moment
Alessandro Nesta,Icons,FUT 21 ICONS,Italy,CB,580K ,93,439,2000,33,79,187,74,43,67,70,96,3,2,Icon Moment
David Beckham,Icons,FUT 21 ICONS,England,RM,1.63M ,93,516,2528,430,74,182,84,91,97,90,70,3,3,Icon Moment
Carles Puyol Saforcada,Icons,FUT 21 ICONS,Spain,CB,695K ,93,441,2079,1830,80,178,75,46,70,62,96,3,2,Icon Moment
Luís Figo,Icons,FUT 21 ICONS,Portugal,RM,1.8M ,93,493,2359,149,75,180,93,90,92,94,42,4,4,Icon Moment
Dennis Bergkamp,Icons,FUT 21 ICONS,Netherlands,CF,956K ,93,479,2340,194,78,183,85,93,89,94,39,4,4,Icon Moment
Toni Kroos,LaLiga Santander,Real Madrid,Germany,CM,291.1K ,93,502,2409,7602,76,183,78,89,95,88,76,5,3,Flashback SBC
Emilio Butragueño,Icons,FUT 21 ICONS,Spain,ST,2.94M ,93,477,2299,310,68,168,95,94,82,94,42,5,3,Icon Moment
Andrea Pirlo,Icons,FUT 21 ICONS,Italy,CM,1.08M ,93,492,2412,237,68,177,76,85,96,92,73,4,5,Icon Moment
Peter Schmeichel,Icons,FUT 21 ICONS,Denmark,GK,664K ,93,510,1313,89,92,193,94,89,89,97,49,3,1,Icon Moment
Bobby Moore,Icons,FUT 21 ICONS,England,CB,626K ,93,485,2374,548,72,178,71,65,85,81,96,3,2,Icon Moment
Kenny Dalglish,Icons,FUT 21 ICONS,Scotland,ST,3.2M ,93,474,2322,360,73,173,92,95,78,92,42,5,4,Icon Moment
Samuel Eto'o,Icons,FUT 21 ICONS,Cameroon,ST,6.1M ,93,501,2418,813,75,179,98,95,83,93,48,4,4,Icon Moment
Gary Lineker,Icons,FUT 21 ICONS,England,ST,815K ,93,463,2226,98,74,177,90,94,74,88,38,4,3,Icon Moment
Javier Zanetti,Icons,FUT 21 ICONS,Argentina,LWB,970K ,93,520,2456,212,75,178,87,85,90,86,90,4,2,Icon Moment
Hugo Sánchez,Icons,FUT 21 ICONS,Mexico,ST,2.3M ,93,488,2380,186,73,176,95,96,82,93,45,4,3,Icon Moment
Raúl González Blanco,Icons,FUT 21 ICONS,Spain,CAM,2.51M ,93,490,2381,244,70,180,90,94,86,93,50,4,4,Icon Moment
Fabio Cannavaro,Icons,FUT 21 ICONS,Italy,CB,2.1M ,93,450,2130,356,74,176,83,45,66,71,97,3,2,Icon Moment
Rivaldo,Icons,FUT 21 ICONS,Brazil,CAM,1.7M ,93,494,2410,127,76,186,90,95,90,94,45,2,4,Icon Moment
Ruud van Nistelrooy,Icons,FUT 21 ICONS,Netherlands,ST,746K ,93,470,2261,73,80,188,88,94,76,87,40,3,3,Icon Moment
Ryan Giggs,Icons,FUT 21 ICONS,Wales,LM,560K ,93,475,2276,-90,71,179,92,85,91,93,45,2,3,Icon Moment
Ryan Giggs,Icons,FUT 21 ICONS,Wales,LM,268K ,92,462,2220,-14,71,179,90,80,90,91,44,2,3,Icon
Javier Zanetti,Icons,FUT 21 ICONS,Argentina,RB,524K ,92,493,2312,187,74,178,86,63,88,85,90,4,2,Icon
Alessandro Nesta,Icons,FUT 21 ICONS,Italy,CB,306K ,92,426,1939,94,79,187,72,42,65,67,94,3,2,Icon
Fabio Cannavaro,Icons,FUT 21 ICONS,Italy,CB,960K ,92,434,2065,1182,74,176,80,43,63,68,95,3,2,Icon
Rivaldo,Icons,FUT 21 ICONS,Brazil,LW,400K ,92,480,2335,118,75,186,87,91,88,92,44,2,4,Icon
Hristo Stoichkov,Icons,FUT 21 ICONS,Bulgaria,ST,1.08M ,92,499,2407,458,73,178,92,93,86,92,50,3,4,Icon
Luís Figo,Icons,FUT 21 ICONS,Portugal,RW,995K ,92,482,2283,182,75,180,92,88,89,92,41,4,4,Icon
Andrea Pirlo,Icons,FUT 21 ICONS,Italy,CM,385K ,92,477,2347,220,67,177,73,80,95,91,71,4,5,Icon
Ruud van Nistelrooy,Icons,FUT 21 ICONS,Netherlands,ST,282K ,92,455,2198,79,80,188,86,91,78,85,37,3,3,Icon
Raúl González Blanco,Icons,FUT 21 ICONS,Spain,CF,745K ,92,474,2297,467,68,180,88,92,82,90,47,4,4,Icon
Hugo Sánchez,Icons,FUT 21 ICONS,Mexico,ST,749K ,92,475,2288,378,73,176,92,93,81,90,44,4,3,Icon
Bobby Moore,Icons,FUT 21 ICONS,England,CB,224K ,92,471,2318,15,72,178,68,64,83,78,93,3,2,Icon
Emilio Butragueño,Icons,FUT 21 ICONS,Spain,ST,1.53M ,92,465,2245,553,68,168,94,90,80,92,41,5,3,Icon
Gary Lineker,Icons,FUT 21 ICONS,England,ST,300K ,92,450,2161,109,74,177,88,91,73,86,36,4,3,Icon
Alessandro Del Piero,Icons,FUT 21 ICONS,Italy,CF,530K ,92,466,2265,218,74,174,83,92,89,92,43,5,4,Icon
Carles Puyol Saforcada,Icons,FUT 21 ICONS,Spain,CB,315K ,92,425,2016,95,80,178,70,45,68,58,94,3,2,Icon
Dennis Bergkamp,Icons,FUT 21 ICONS,Netherlands,CF,428K ,92,466,2272,223,78,183,84,91,86,90,37,4,4,Icon
Peter Schmeichel,Icons,FUT 21 ICONS,Denmark,GK,350K ,92,500,1300,70,92,193,92,87,88,94,49,3,1,Icon
Paolo Maldini,Icons,FUT 21 ICONS,Italy,CB,1.97M ,92,456,2115,516,83,186,82,56,74,68,95,4,2,Icon
Garrincha,Icons,FUT 21 ICONS,Brazil,RW,1.68M ,92,470,2275,456,71,169,90,86,92,94,41,4,5,Icon
Kenny Dalglish,Icons,FUT 21 ICONS,Scotland,ST,1.79M ,92,463,2271,483,73,173,90,92,77,90,41,5,4,Icon
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,793K ,92,464,2258,12308,83,187,89,93,81,89,35,4,5,Rare
Ferenc Puskás,Icons,FUT 21 ICONS,Hungary,ST,1.88M ,92,489,2373,1137,75,172,89,95,90,91,47,3,4,Icon
Samuel Eto'o,Icons,FUT 21 ICONS,Cameroon,ST,3.17M ,92,490,2363,1336,75,179,95,93,82,90,47,4,4,Icon
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,150K ,92,466,2256,1145,80,184,79,92,80,87,44,4,4,IF
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,795K ,92,464,2258,1720,83,187,89,93,81,89,35,4,5,CL
Kevin De Bruyne,Premier League,Manchester City,Belgium,CM,378K ,92,494,2378,998,70,181,78,87,94,90,65,5,4,TOTGS
David Beckham,Icons,FUT 21 ICONS,England,RM,619K ,92,501,2464,822,74,182,80,87,95,88,69,3,3,Icon
Sadio Mané,Premier League,Liverpool,Senegal,ST,1.94M ,92,485,2318,1937,69,175,94,90,82,93,45,4,4,FUT Freeze
Bruno Fernandes,Premier League,Manchester Utd,Portugal,CAM,1.22M ,92,517,2528,1982,69,179,83,92,93,92,75,4,4,PL POTM SBC
Karim Benzema,LaLiga Santander,Real Madrid,France,CF,145K ,92,468,2279,340,81,185,79,90,86,90,43,4,4,TIF
Neymar Jr,Ligue 1 Conforama,Paris SG,Brazil,LM,1.94M ,92,459,2251,5251,68,175,92,87,88,95,37,5,5,IF
Mohamed Salah,Premier League,Liverpool,Egypt,RW,987K ,92,486,2319,1631,71,175,95,89,85,93,47,3,4,SIF
Ansu Fati,LaLiga Santander,FC Barcelona,Spain,ST,2.1M ,92,488,2344,3192,66,178,98,90,88,93,43,4,4,FUT Future Stars
Ian Rush,Icons,FUT 21 ICONS,Wales,ST,795K ,92,474,2282,284,79,180,88,94,74,89,46,5,3,Icon Moment
Michael Laudrup,Icons,FUT 21 ICONS,Denmark,CAM,445K ,92,459,2217,-72,76,183,87,81,92,94,39,4,4,Icon Moment
Fernando Torres,Icons,FUT 21 ICONS,Spain,ST,3.31M ,92,487,2336,1048,78,186,96,93,80,90,46,4,4,Icon Moment
Fernando Hierro Ruiz,Icons,FUT 21 ICONS,Spain,CDM,564K ,92,484,2375,-103,84,187,74,72,80,73,94,3,2,Icon Moment
Didier Drogba,Icons,FUT 21 ICONS,Côte d'Ivoire,ST,2.34M ,92,492,2374,584,91,189,93,96,79,84,48,4,4,Icon Moment
Pavel Nedvěd,Icons,FUT 21 ICONS,Czech Republic,LM,1.05M ,92,508,2456,1382,71,177,88,92,92,92,61,5,4,Icon Moment
Philipp Lahm,Icons,FUT 21 ICONS,Germany,LB,1.2M ,92,512,2473,288,62,170,89,78,89,89,92,3,3,Icon Moment
Patrick Vieira,Icons,FUT 21 ICONS,France,CM,8.64M ,92,531,2470,835,83,192,89,86,84,87,92,3,3,Icon Moment
Paul Scholes,Icons,FUT 21 ICONS,England,CM,550K ,92,492,2418,8,72,171,75,93,93,83,65,3,3,Icon Moment
Patrick Kluivert,Icons,FUT 21 ICONS,Netherlands,ST,905K ,92,477,2295,964,78,188,89,93,82,86,43,5,4,Icon Moment
Michael Ballack,Icons,FUT 21 ICONS,Germany,CAM,1.6M ,92,523,2514,340,85,188,83,93,90,87,82,4,4,Icon Moment
Alan Shearer,Icons,FUT 21 ICONS,England,ST,438K ,92,484,2358,-91,78,182,84,95,79,84,54,3,2,Icon Moment
Steven Gerrard,Icons,FUT 21 ICONS,England,CM,1.45M ,92,516,2490,321,83,183,80,94,91,88,78,3,3,Icon Moment
Robert Pirès,Icons,FUT 21 ICONS,France,LM,469K ,92,463,2229,70,74,187,90,86,89,91,41,4,4,Icon Moment
Bastian Schweinsteiger,Icons,FUT 21 ICONS,Germany,CDM,1.95M ,92,520,2537,1580,79,183,77,87,90,87,89,3,3,Icon Moment
Sócrates,Icons,FUT 21 ICONS,Brazil,CAM,1.6M ,92,498,2396,205,79,192,86,93,93,93,47,5,4,Icon Moment
Roberto Carlos,Icons,FUT 21 ICONS,Brazil,LB,2.03M ,92,529,2562,333,69,168,95,89,86,84,87,2,3,Icon Moment
Gheorghe Hagi,Icons,FUT 21 ICONS,Romania,LM,724K ,92,475,2337,369,68,172,84,95,93,92,44,4,5,Icon Moment
Laurent Blanc,Icons,FUT 21 ICONS,France,CB,1.36M ,92,489,2326,152,82,192,80,74,74,79,94,3,2,Icon Moment
Jan Oblak,LaLiga Santander,Atlético de Madrid,Slovenia,GK,145K ,92,495,1046,313,87,188,89,93,79,92,51,3,1,IF
Edwin van der Sar,Icons,FUT 21 ICONS,Netherlands,GK,1000K ,92,496,1004,124,83,197,88,91,82,94,44,3,1,Icon Moment
Riquelme,Icons,FUT 21 ICONS,Argentina,CAM,936K ,92,456,2250,79,79,183,72,90,94,95,33,4,5,Icon Moment
Marcel Desailly,Icons,FUT 21 ICONS,France,CB,2.67M ,92,470,2164,365,81,185,85,64,67,69,93,3,2,Icon Moment
Andriy Shevchenko,Icons,FUT 21 ICONS,Ukraine,ST,1.19M ,92,463,2267,203,72,183,90,95,74,89,36,4,3,Icon Moment
Miroslav Klose,Icons,FUT 21 ICONS,Germany,ST,1.07M ,92,467,2252,265,74,184,90,92,77,83,42,4,3,Icon Moment
David Trezeguet,Icons,FUT 21 ICONS,France,ST,489K ,92,465,2206,-91,75,187,83,94,76,84,46,4,4,Icon Moment
Ronald Koeman,Icons,FUT 21 ICONS,Netherlands,CB,1.2M ,92,521,2556,222,82,181,77,91,90,81,93,3,3,Icon Moment
Clarence Seedorf,Icons,FUT 21 ICONS,Netherlands,CM,1.4M ,92,506,2442,172,76,176,82,91,91,90,69,4,4,Icon Moment
Kaká,Icons,FUT 21 ICONS,Brazil,CAM,5.61M ,92,495,2341,985,78,186,97,90,89,95,48,4,5,Icon Moment
Petr Cech,Icons,FUT 21 ICONS,Czech Republic,GK,1.4M ,92,507,1216,262,90,196,92,89,81,92,59,3,1,Icon Moment
Michael Owen,Icons,FUT 21 ICONS,England,ST,1.98M ,92,452,2194,377,70,173,94,93,71,90,35,5,3,Icon Moment
Alan Shearer,Icons,FUT 21 ICONS,England,ST,184K ,91,466,2282,-31,78,182,81,93,77,78,52,3,2,Icon
Paul Scholes,Icons,FUT 21 ICONS,England,CM,215K ,91,476,2341,65,71,171,72,87,91,80,64,3,3,Icon
Marcel Desailly,Icons,FUT 21 ICONS,France,CB,1.47M ,91,448,2081,282,81,185,83,52,66,67,90,3,2,Icon
Clarence Seedorf,Icons,FUT 21 ICONS,Netherlands,CAM,542K ,91,495,2392,188,78,176,80,87,90,88,68,4,4,Icon
Robert Pirès,Icons,FUT 21 ICONS,France,LM,210K ,91,451,2177,41,74,187,88,82,88,89,40,4,4,Icon
Michael Ballack,Icons,FUT 21 ICONS,Germany,CM,808K ,91,509,2439,256,85,188,81,90,88,83,81,4,4,Icon
Michael Owen,Icons,FUT 21 ICONS,England,ST,357K ,91,438,2129,649,70,173,90,89,70,88,34,4,3,Icon
David Trezeguet,Icons,FUT 21 ICONS,France,ST,199K ,91,450,2122,-1,75,187,81,92,70,82,45,4,4,Icon
Pavel Nedvěd,Icons,FUT 21 ICONS,Czech Republic,LM,367K ,91,494,2371,422,72,177,85,88,90,90,60,5,4,Icon
Andriy Shevchenko,Icons,FUT 21 ICONS,Ukraine,ST,380K ,91,448,2185,243,72,183,88,92,72,87,34,4,3,Icon
Steven Gerrard,Icons,FUT 21 ICONS,England,CM,590K ,91,503,2414,294,83,183,77,90,90,85,77,3,3,Icon
Riquelme,Icons,FUT 21 ICONS,Argentina,CAM,305K ,91,444,2194,72,79,183,70,87,93,93,32,4,5,Icon
Didier Drogba,Icons,FUT 21 ICONS,Côte d'Ivoire,ST,940K ,91,478,2283,454,88,189,90,92,77,82,47,4,4,Icon
Edwin van der Sar,Icons,FUT 21 ICONS,Netherlands,GK,560K ,91,480,917,196,83,197,85,90,81,89,40,3,1,Icon
Kaká,Icons,FUT 21 ICONS,Brazil,CAM,1.32M ,91,474,2264,1049,78,186,91,86,88,92,44,4,5,Icon
Fernando Hierro Ruiz,Icons,FUT 21 ICONS,Spain,CB,286K ,91,467,2292,308,84,187,73,68,76,70,93,3,2,Icon
Gheorghe Hagi,Icons,FUT 21 ICONS,Romania,CAM,314K ,91,460,2269,230,68,172,83,89,90,90,43,4,4,Icon
Ronald Koeman,Icons,FUT 21 ICONS,Netherlands,CB,520K ,91,508,2497,763,82,181,75,88,89,80,90,3,3,Icon
Pelé,Icons,FUT 21 ICONS,Brazil,CF,4.26M ,91,490,2383,847,68,172,94,89,88,93,53,4,5,Icon
Sócrates,Icons,FUT 21 ICONS,Brazil,CAM,690K ,91,484,2339,287,79,192,84,90,91,90,45,5,4,Icon
Lothar Matthäus,Icons,FUT 21 ICONS,Germany,CDM,1.89M ,91,505,2448,573,70,174,87,84,86,77,89,4,3,Icon
Michael Laudrup,Icons,FUT 21 ICONS,Denmark,CAM,194K ,91,448,2164,129,78,183,85,79,90,92,38,4,4,Icon
Diego Maradona,Icons,FUT 21 ICONS,Argentina,CAM,2.17M ,91,475,2306,4265,68,165,93,87,87,94,38,3,5,Icon
Lev Yashin,Icons,FUT 21 ICONS,Russia,GK,360K ,91,498,1295,188,82,189,93,85,73,93,62,3,1,Icon
Ronaldinho,Icons,FUT 21 ICONS,Brazil,CAM,2.95M ,91,472,2261,1116,76,180,91,86,88,92,36,4,5,Icon
Patrick Kluivert,Icons,FUT 21 ICONS,Netherlands,ST,280K ,91,460,2227,106,81,188,86,88,80,83,41,4,4,Icon
Patrick Vieira,Icons,FUT 21 ICONS,France,CM,3.9M ,91,511,2395,293,83,192,83,80,82,85,90,3,3,Icon
Roberto Carlos,Icons,FUT 21 ICONS,Brazil,LB,1.22M ,91,512,2472,474,69,168,92,83,84,81,86,2,3,Icon
Laurent Blanc,Icons,FUT 21 ICONS,France,CB,770K ,91,474,2258,188,82,192,79,69,70,78,92,3,2,Icon
Marco van Basten,Icons,FUT 21 ICONS,Netherlands,ST,190K ,91,443,2171,135,80,188,79,92,75,87,40,4,3,Icon
Franco Baresi,Icons,FUT 21 ICONS,Italy,CB,225K ,91,435,2099,53,71,176,69,48,74,70,94,3,2,Icon
Miroslav Klose,Icons,FUT 21 ICONS,Germany,ST,280K ,91,456,2206,248,74,184,88,88,76,82,41,4,3,Icon
Eusébio,Icons,FUT 21 ICONS,Portugal,CF,3.55M ,91,480,2345,841,76,175,93,93,88,90,42,5,4,Icon
Johan Cruyff,Icons,FUT 21 ICONS,Netherlands,CF,3.84M ,91,474,2289,972,70,180,91,89,88,93,41,5,5,Icon
Roberto Baggio,Icons,FUT 21 ICONS,Italy,CAM,387K ,91,447,2171,582,72,174,88,82,89,90,38,4,5,Icon
Ian Rush,Icons,FUT 21 ICONS,Wales,ST,250K ,91,462,2226,146,79,180,86,92,72,86,45,4,3,Icon
Zinedine Zidane,Icons,FUT 21 ICONS,France,CM,2.29M ,91,505,2427,808,77,185,84,86,91,90,73,5,5,Icon
Kevin De Bruyne,Premier League,Manchester City,Belgium,CAM,95K ,91,485,2337,3889,70,181,76,86,93,88,64,5,4,Rare
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,91K ,91,458,2232,1961,80,184,78,91,78,86,43,4,4,Rare
